Ticker,MNST
CurrentPrice,75.49
ExpirationDate,2026-03-20
DownloadTimestamp,2026-03-18 17:52:02

Strike,Call_OI,Call_Volume,Put_OI,Put_Volume
25.0,40,40,11,1
28.0,30,30,0,0
30.0,3,1,0,0
33.0,4,0,0,0
35.0,23,7,0,0
38.0,2,0,0,0
40.0,10,2,3,2
43.0,8,0,9,2
45.0,8,1,55,5
47.0,22,4,63,1
50.0,130,4,371,1
52.5,30,6,136,1
55.0,179,1,281,1
57.5,126,75,1240,1
60.0,160,5,451,160
62.5,269,1,196,2
65.0,305,2,562,35
67.5,276,1,759,6
70.0,977,11,592,22
72.5,417,1,1504,3
75.0,344,45,851,13
77.5,820,32,3547,19
80.0,1063,8,870,23
82.5,741,180,67,14
85.0,1073,2,14,1
87.5,478,1,3,1
90.0,1049,3,0,7
92.5,1034,4,30,1
95.0,451,3,0,5
