Ticker,ASML
CurrentPrice,1370.25
ExpirationDate,2026-03-20
DownloadTimestamp,2026-03-18 17:49:37

Strike,Call_OI,Call_Volume,Put_OI,Put_Volume
300.0,26,1,32,2
310.0,68,5,22,1
320.0,50,4,2,1
330.0,114,8,26,5
340.0,67,2,21,50
350.0,23,24,115,1
360.0,31,26,6,2
370.0,53,112,103,100
380.0,40,186,0,4
390.0,7,2,125,2
400.0,23,1,16,2
410.0,53,5,7,1
420.0,34,4,150,1
430.0,94,8,4,2
440.0,30,2,6,1
450.0,35,24,68,52
460.0,22,5,42,3
470.0,40,112,53,50
480.0,29,186,62,1
490.0,7,2,48,1
500.0,10,40,646,500
520.0,16,10,152,1
540.0,14,38,74,1
560.0,2,18,196,1
580.0,28,1,137,7
600.0,32,8,323,1
620.0,23,154,290,1
640.0,27,19,342,10
650.0,59,26,384,31
660.0,30,19,198,1
670.0,11,38,273,2
680.0,35,2,277,20
690.0,21,2,137,1
700.0,74,8,632,6
710.0,24,1,134,1
720.0,69,1,174,1
730.0,44,1,66,6
740.0,44,21,92,1
750.0,127,26,109,2
760.0,75,18,281,1
770.0,18,38,87,3
780.0,27,1,157,1
790.0,122,5,118,2
800.0,512,2,291,14
810.0,70,5,95,23
820.0,63,14,114,5
830.0,156,8,163,2
840.0,33,75,247,7
850.0,131,128,129,26
860.0,60,11,125,2
870.0,46,3,218,10
880.0,26,1,158,1
890.0,58,9,265,5
900.0,252,2,662,3
910.0,69,4,94,9
920.0,148,13,231,19
930.0,38,7,146,18
940.0,17,71,94,19
950.0,185,128,224,111
960.0,49,2,184,23
970.0,1,1,212,6
980.0,142,1,459,10
990.0,2,4,97,25
1000.0,154,3,986,1
1020.0,69,9,294,1
1040.0,90,4,176,2
1060.0,132,3,320,3
1080.0,210,21,163,1
1090.0,0,0,467,2
1095.0,0,0,2,0
1100.0,210,1,1376,1
1110.0,0,0,30,27
1115.0,0,0,48,2
1120.0,378,13,827,5
1125.0,4,4,0,0
1130.0,0,0,31,20
1135.0,0,0,1,1
1140.0,129,2,160,22
1145.0,0,0,1,0
1150.0,33,1,340,13
1155.0,0,0,33,11
1160.0,190,4,133,3
1165.0,0,0,23,8
1170.0,44,10,194,7
1175.0,0,0,1708,2
1180.0,65,1,2944,31
1185.0,0,0,12,5
1190.0,9,2,279,6
1195.0,0,0,13,1
1200.0,155,2,675,33
1205.0,0,0,18,2
1210.0,13,2,2815,17
1215.0,0,0,606,617
1220.0,118,50,1992,51
1225.0,0,0,1944,12
1230.0,1,1,212,29
1235.0,0,0,21,16
1240.0,243,1,360,99
1245.0,2,0,39,6
1250.0,8,1,575,94
1255.0,1,0,30,2
1260.0,143,1,553,71
1265.0,0,0,74,4
1270.0,56,1,379,14
1275.0,5,0,43,11
1280.0,179,2,416,59
1285.0,15,0,557,13
1290.0,28,1,593,5
1295.0,14,2,68,6
1300.0,176,11,1083,46
1305.0,8,0,87,7
1310.0,61,1,308,8
1315.0,15,1,89,17
1320.0,112,10,414,85
1325.0,9,1,50,6
1330.0,105,1,292,21
1335.0,10,5,59,7
1340.0,144,2,283,14
1345.0,65,22,26,3
1350.0,165,36,1119,21
1355.0,29,14,125,11
1360.0,421,17,187,44
1365.0,13,37,33,17
1370.0,78,76,492,81
1375.0,54,47,77,44
1380.0,376,22,207,35
1385.0,33,18,44,1
1390.0,189,24,157,12
1395.0,38,16,0,0
1400.0,1090,277,1505,18
1405.0,39,3,0,0
1410.0,191,9,96,3
1415.0,89,3,41,1
1420.0,266,43,79,20
1425.0,144,34,74,3
1430.0,172,13,41,1
1435.0,78,7,13,2
1440.0,593,14,273,2
1445.0,139,12,139,1
1450.0,698,214,62,15
1455.0,123,43,32,1
1460.0,1614,19,127,2
1465.0,73,22,18,1
1470.0,773,55,17,1
1475.0,172,42,34,1
1480.0,898,6,60,12
1485.0,78,9,87,2
1490.0,131,17,9,2
1495.0,131,2,22,5
1500.0,1116,43,166,1
1505.0,91,44,19,15
1510.0,247,12,14,5
1515.0,82,1,22,2
1520.0,183,35,30,4
1525.0,183,11,5,4
1530.0,160,8,5,4
1535.0,77,13,11,4
1540.0,537,9,29,4
1545.0,72,25,0,0
1550.0,160,14,0,1
1555.0,71,10,0,0
1560.0,827,3,0,32
1565.0,16,10,0,0
1570.0,55,98,0,0
1575.0,58,27,0,0
1580.0,144,50,0,3
1585.0,37,3,0,0
1590.0,55,2,0,0
1595.0,29,1,0,0
1600.0,490,281,0,1
1610.0,3,0,0,0
1620.0,399,22,0,1
1630.0,37,25,0,0
1640.0,229,12,0,0
1660.0,1659,18,0,1
1680.0,693,2,0,8
1700.0,368,6,0,4
1720.0,693,50,0,0
1740.0,96,20,0,3
1760.0,105,2,0,2
1780.0,271,12,0,0
1800.0,266,28,0,7
1820.0,218,5,0,0
1840.0,11,1,0,0
1860.0,411,4,0,0
1880.0,152,2,0,0
1900.0,473,35,0,0
1920.0,5,2,0,0
1940.0,13,9,0,0
1960.0,8,2,0,0
1980.0,11,1,0,0
2000.0,905,1,0,0
2020.0,793,78,0,0
2040.0,24,4,0,0
2060.0,1074,31,0,0
