Ticker,MELI
CurrentPrice,1996.55
ExpirationDate,2026-02-20
DownloadTimestamp,2026-02-20 00:45:01

Strike,Call_OI,Put_OI
1200.0,0,13
1220.0,4,6
1240.0,4,16
1250.0,4,28
1260.0,1,4
1280.0,0,6
1300.0,2,12
1320.0,2,14
1340.0,2,4
1350.0,3,12
1360.0,0,5
1380.0,0,7
1400.0,3,39
1420.0,5,21
1440.0,3,8
1450.0,3,5
1460.0,1,15
1480.0,0,17
1500.0,2,19
1520.0,2,11
1540.0,0,14
1550.0,0,36
1560.0,0,30
1580.0,2,59
1600.0,2,30
1620.0,2,47
1640.0,4,100
1650.0,2,46
1660.0,0,34
1680.0,2,89
1700.0,0,280
1720.0,0,223
1740.0,2,16
1750.0,0,36
1760.0,0,31
1780.0,0,73
1790.0,1,11
1800.0,12,79
1810.0,0,20
1820.0,3,545
1830.0,0,543
1840.0,1,180
1850.0,11,718
1860.0,3,355
1870.0,0,45
1880.0,4,215
1890.0,0,73
1900.0,40,452
1905.0,0,2
1910.0,0,145
1915.0,0,29
1920.0,7,128
1925.0,0,87
1930.0,4,70
1940.0,19,205
1945.0,0,58
1950.0,20,115
1955.0,0,11
1960.0,61,183
1965.0,64,4
1970.0,38,21
1975.0,20,9
1980.0,65,87
1985.0,9,6
1990.0,60,47
1995.0,63,6
2000.0,157,167
2005.0,21,15
2010.0,81,27
2015.0,25,2
2020.0,55,101
2025.0,25,53
2030.0,37,12
2035.0,16,3
2040.0,16,10
2045.0,2,0
2050.0,39,43
2055.0,19,5
2060.0,63,9
2065.0,12,6
2070.0,44,20
2075.0,8,21
2080.0,41,70
2085.0,21,1
2090.0,146,2
2095.0,10,5
2100.0,487,221
2105.0,12,4
2110.0,431,8
2115.0,7,0
2120.0,93,24
2125.0,7,1
2130.0,18,27
2135.0,12,5
2140.0,109,16
2145.0,6,1
2150.0,130,22
2155.0,95,1
2160.0,42,21
2165.0,7,0
2170.0,6,0
2175.0,24,0
2180.0,94,24
2185.0,24,5
2195.0,4,1
2200.0,264,90
2210.0,27,0
2220.0,31,1
2230.0,37,0
2240.0,25,1
2250.0,47,1
2260.0,62,1
2270.0,0,0
2280.0,84,0
2300.0,130,1
2320.0,142,0
2340.0,35,3
2350.0,49,0
2360.0,27,0
2380.0,40,0
2400.0,403,0
2420.0,294,0
2440.0,134,0
2450.0,308,0
2460.0,24,0
2480.0,182,0
2500.0,636,0
2550.0,273,0
2600.0,377,0
2650.0,16,0
2700.0,22,0
2750.0,4,0
2800.0,42,0
2850.0,14,0
2900.0,3,0
2950.0,4,0
3000.0,11,0
3100.0,1,0
3150.0,2,0
3200.0,1,0
3250.0,2,0
3300.0,7,0
3400.0,33,0
