Ticker,AMGN
CurrentPrice,353.42
ExpirationDate,2026-03-20
DownloadTimestamp,2026-03-18 17:50:00

Strike,Call_OI,Call_Volume,Put_OI,Put_Volume
135.0,0,0,12,3
140.0,1,1,16,3
145.0,0,0,1,1
150.0,1,1,4,2
155.0,0,0,6,1
160.0,0,0,1,0
165.0,0,0,4,2
170.0,0,0,96,1
175.0,0,0,6,1
180.0,0,0,18,13
185.0,0,0,0,3
190.0,1,0,23,10
195.0,2,10,19,2
200.0,12,1,30,5
210.0,0,38,35,2
220.0,0,74,77,8
225.0,0,0,2,0
230.0,0,1,59,1
235.0,0,0,0,1
240.0,6,24600,111,1
250.0,0,170,1284,2
260.0,0,30,224,3
265.0,1,0,3,3
270.0,21,1,596,9
275.0,6,4,7,1
280.0,3,15180,967,1
285.0,0,0,16,5
290.0,10,39703,464,1
295.0,0,13,82,10
300.0,1000,29,1860,1
305.0,11,28,155,1
310.0,7,1,908,6
315.0,0,45,148,5
320.0,57,3,659,13
325.0,35,5,78,28
330.0,228,2,558,5
335.0,87,1,294,17
340.0,940,4,415,6
342.5,0,0,335,300
345.0,72,2,644,5
347.5,0,0,81,0
350.0,1422,13,258,60
352.5,0,0,36,2
355.0,222,1,593,18
357.5,0,0,62,3
360.0,1296,20,776,17
362.5,44,5,23,2
365.0,223,7,166,5
367.5,106,6,42,2
370.0,940,8,339,3
372.5,23,5,182,4
375.0,581,51,487,4
377.5,390,4,55,1
380.0,774,28,123,12
382.5,422,303,25,2
385.0,948,1,145,2
387.5,89,2,5,3
390.0,896,71,14,10
392.5,205,2,0,0
395.0,292,45,11,0
397.5,9,2,0,1
400.0,929,76,1,2
405.0,1502,2,0,0
410.0,485,6,0,3
415.0,310,20,0,3
420.0,253,1,0,0
425.0,75,2,0,0
430.0,20,1,0,0
440.0,14,5,0,0
450.0,17,20,0,0
460.0,7,2,0,0
470.0,3,4,0,0
480.0,4,1,0,0
490.0,1,1,0,0
500.0,1,0,0,0
