Ticker,VRTX
CurrentPrice,456.2
ExpirationDate,2026-03-20
DownloadTimestamp,2026-03-18 17:49:52

Strike,Call_OI,Call_Volume,Put_OI,Put_Volume
195.0,0,0,1,1
200.0,6,9,0,0
210.0,0,0,10,0
220.0,64,2,5,1
230.0,0,0,3,3
240.0,1,2,4,2
250.0,0,0,7,1
260.0,0,0,8,2
270.0,1,2,44,71
280.0,6,0,38,1
290.0,0,0,46,1
300.0,2,1,125,2
310.0,1,0,21,1
320.0,0,0,65,1
330.0,0,0,86,3
340.0,13,5,56,1
350.0,4,0,214,10
360.0,2,1,77,63
370.0,13,2,50,4
380.0,28,1,106,3
390.0,35,1,398,1
400.0,90,5,491,4
405.0,0,0,18,12
410.0,41,1,165,1
415.0,1,1,36,10
420.0,58,1,259,97
425.0,0,1,43,8
430.0,140,2,141,1
435.0,0,0,21,3
440.0,34,5,609,1
445.0,0,0,31,1
447.5,0,0,46,1
450.0,393,8,285,401
452.5,0,0,59,3
455.0,1,1,73,13
457.5,0,0,52,2
460.0,413,11,210,8
462.5,8,8,20,4
465.0,15,1,126,21
467.5,56,55,3,1
470.0,157,11,324,3
472.5,23,8,15,2
475.0,31,6,151,41
477.5,126,7,49,40
480.0,317,19,203,1
482.5,44,2,19,2
485.0,175,1,45,1
487.5,29,1,27,14
490.0,304,10,50,1
495.0,245,8,53,40
500.0,1003,7,20,5
505.0,86,1,34,1
510.0,617,1,12,2
515.0,26,2,0,0
520.0,342,1,0,2
525.0,69,19,0,0
530.0,139,3,7,3
535.0,9,1,0,0
540.0,41,5,0,71
545.0,1,0,0,0
550.0,534,2,0,0
560.0,39,20,5,0
570.0,28,1,0,0
580.0,10,1,0,0
590.0,16,36,0,0
600.0,222,3,0,0
610.0,18,10,0,0
620.0,17,10,0,0
630.0,7,1,0,0
640.0,7,10,0,0
660.0,15,1,0,0
680.0,18,1,0,0
700.0,15,1,0,0
720.0,9,1,0,0
740.0,7,2,0,0
760.0,5,1,0,0
