Ticker,ADBE
CurrentPrice,259.21
ExpirationDate,2026-02-20
DownloadTimestamp,2026-02-20 00:45:13

Strike,Call_OI,Put_OI
170.0,10,308
175.0,65,369
180.0,71,333
185.0,75,269
190.0,82,278
195.0,61,55
200.0,735,848
205.0,0,3
207.5,0,2
210.0,39,229
215.0,14,15
220.0,89,537
222.5,0,150
225.0,3,547
227.5,0,32
230.0,122,745
232.5,0,595
235.0,14,746
237.5,7,621
240.0,42,1172
242.5,0,118
245.0,53,968
247.5,8,439
250.0,227,2744
252.5,19,236
255.0,95,1091
257.5,86,271
260.0,562,1124
262.5,403,385
265.0,1428,1730
267.5,730,81
270.0,1129,875
272.5,907,410
275.0,869,927
277.5,1203,563
280.0,1080,1958
282.5,693,136
285.0,353,383
287.5,172,105
290.0,1215,1295
292.5,107,41
295.0,1096,1071
297.5,131,3
300.0,1035,652
302.5,224,6
305.0,608,111
307.5,255,0
310.0,1367,107
312.5,324,0
315.0,1645,246
317.5,313,0
320.0,1486,814
325.0,1359,222
330.0,2180,96
335.0,667,99
340.0,966,233
345.0,998,50
350.0,1206,43
355.0,808,8
360.0,1188,18
365.0,827,1
370.0,1042,3
375.0,968,0
380.0,448,1
385.0,508,0
390.0,652,0
395.0,323,0
400.0,1160,0
405.0,256,0
410.0,1397,0
415.0,353,0
420.0,861,0
425.0,309,0
430.0,365,0
435.0,477,0
440.0,474,0
445.0,338,0
450.0,338,0
455.0,561,0
460.0,211,0
465.0,217,0
470.0,322,1
475.0,254,16
480.0,149,1
485.0,120,0
490.0,70,0
495.0,179,0
500.0,1064,4
505.0,122,0
510.0,212,0
515.0,119,0
520.0,244,0
525.0,229,0
530.0,213,0
535.0,69,0
540.0,287,0
545.0,269,0
