Ticker,BKNG
CurrentPrice,4427.13
ExpirationDate,2026-03-20
DownloadTimestamp,2026-03-18 17:49:25

Strike,Call_OI,Call_Volume,Put_OI,Put_Volume
2000.0,0,0,12,2
2080.0,0,5,44,20
2100.0,0,2,88,9
2120.0,0,0,14,1
2140.0,0,0,44,2
2150.0,0,0,101,89
2160.0,0,0,10,1
2180.0,0,0,68,13
2200.0,0,0,13,10
2220.0,0,5,37,11
2240.0,0,5,22,8
2250.0,0,0,12,2
2260.0,0,5,11,1
2280.0,0,5,18,18
2300.0,0,0,22,12
2320.0,0,5,29,4
2340.0,0,5,45,63
2350.0,0,0,46,55
2360.0,0,0,44,54
2380.0,0,0,38,64
2400.0,0,5,73,102
2420.0,0,5,80,3
2440.0,0,20,14,3
2450.0,0,5,27,60
2460.0,0,15,34,73
2480.0,0,55,39,60
2500.0,0,135,26,11
2550.0,0,0,30,13
2600.0,0,10,21,12
2650.0,0,5,38,57
2700.0,0,15,22,15
2750.0,0,20,0,0
2800.0,1,1,51,2
2850.0,0,5,0,0
2900.0,0,10,57,71
2950.0,0,0,0,0
3000.0,1,1,71,4
3050.0,0,1,0,0
3100.0,0,2,38,5
3150.0,0,0,22,1
3200.0,0,1,42,7
3250.0,0,1,69,7
3300.0,0,4,61,14
3350.0,0,1,28,10
3400.0,0,1,113,17
3450.0,0,0,25,38
3500.0,2,1,81,41
3550.0,1,1,46,19
3600.0,1,2,42,55
3650.0,0,1,74,10
3700.0,1,1,63,23
3750.0,9,1,86,14
3780.0,6,1,57,12
3790.0,3,2,24,2
3800.0,57,2,36,48
3810.0,25,1,19,4
3820.0,3,1,20,15
3830.0,2,0,24,22
3840.0,1,0,10,24
3850.0,6,1,16,7
3860.0,5,6,10,6
3870.0,1,0,6,1
3880.0,2,2,11,6
3890.0,1,0,7,2
3900.0,10,1,37,3
3910.0,3,1,31,24
3920.0,2,2,9,6
3930.0,1,1,30,6
3940.0,3,0,17,24
3950.0,9,1,44,2
3960.0,8,2,35,1
3965.0,0,0,13,22
3970.0,2,1,37,52
3975.0,0,0,4,0
3980.0,11,1,19,2
3985.0,0,0,2,0
3990.0,1,0,2,0
3995.0,0,0,12,6
4000.0,64,1,136,1
4005.0,0,0,7,1
4010.0,0,0,2,2
4015.0,0,0,9,6
4020.0,0,0,5,1
4025.0,0,0,10,4
4030.0,1,2,3,2
4035.0,4,2,3,1
4040.0,0,0,2,0
4045.0,0,0,2,0
4050.0,10,1,121,2
4055.0,4,0,3,1
4060.0,1,0,4,1
4065.0,0,0,2,0
4070.0,0,0,3,1
4075.0,3,1,2,0
4080.0,0,0,5,1
4085.0,1,0,2,0
4090.0,0,0,12,3
4095.0,0,0,5,1
4100.0,23,2,95,3
4105.0,0,0,26,21
4110.0,0,0,6,2
4115.0,0,1,8,1
4125.0,0,0,5,1
