Ticker,PEP
CurrentPrice,155.42
ExpirationDate,2026-03-20
DownloadTimestamp,2026-03-18 17:50:53

Strike,Call_OI,Call_Volume,Put_OI,Put_Volume
75.0,0,5,70,1
80.0,0,1,5,2
85.0,1,1,16,2
90.0,1,33,80,1
95.0,0,1,56,5
100.0,2,185,192,5
105.0,0,150,236,1
110.0,0,410,661,32
115.0,0,245,943,41
120.0,3,2,1630,3
125.0,0,2230,2802,96
130.0,194,1,5378,52
135.0,132,10,3189,182
140.0,256,8,2234,73
143.0,0,0,44,23
144.0,0,0,30,0
145.0,121,2,2914,16
146.0,25,2,13,11
147.0,25,6,19,8
148.0,0,0,5,2
149.0,0,0,50,4
150.0,1809,2,2500,451
152.5,4,16,6277,6285
155.0,2916,229,2403,374
157.5,108,155,613,3
160.0,5687,180,2028,23
162.5,487,65,6314,5967
165.0,8610,43,1606,7
167.5,715,2,234,4
170.0,6218,26,195,3
172.5,239,6,0,1
175.0,9738,29,0,1
177.5,146,46,0,4
180.0,1585,8,0,1
182.5,113,108,0,0
185.0,1188,1,0,2
187.5,140,73,0,0
190.0,7013,2,0,2
195.0,1195,1,0,0
200.0,558,6,0,0
210.0,219,1,0,0
220.0,3,2,0,0
230.0,18,2,0,0
