Ticker,GOOGL
CurrentPrice,309.98
ExpirationDate,2026-03-20
DownloadTimestamp,2026-03-18 17:50:17

Strike,Call_OI,Call_Volume,Put_OI,Put_Volume
75.0,25,11,545,100
80.0,9,5,91,10
85.0,18,16,464,1
90.0,6,6,473,9
95.0,1,1,816,13
100.0,37,1,2291,1
105.0,1,1,510,1
110.0,75,63,759,1
115.0,127,3,1822,2
120.0,1735,1,1973,1
125.0,100,5,4595,1
130.0,219,1,8389,42
135.0,330,2,4150,7
140.0,315,2,5308,10
145.0,655,1,5911,5
150.0,1405,1,7717,1
155.0,1247,1,5103,1
160.0,1128,1,3891,1
165.0,3352,2,5971,248
170.0,3262,19,2253,183
175.0,2375,26,3660,2
180.0,3336,47,4680,1
185.0,897,2,3833,1
190.0,2181,10,1574,5
195.0,1073,6,2668,111
200.0,4236,2,8564,2
205.0,3312,2,3046,1
210.0,1286,2,5508,10
215.0,1137,5,9538,1
220.0,1396,5,4425,15
225.0,1851,411,3783,10
230.0,2270,65,8303,1
235.0,1089,4,1669,24
240.0,5075,5,7501,2
245.0,1903,2,6863,6
250.0,2600,11,5448,6
255.0,1408,4,2632,24
260.0,2205,7,6614,207
265.0,840,5,3791,155
270.0,3288,7,9593,225
272.5,37,7,562,10
275.0,1380,38,10541,266
277.5,42,2,433,8
280.0,2265,285,20225,145
282.5,33,10,3832,17
285.0,3044,21,8216,276
287.5,34,18,1061,47
290.0,3817,56,8997,201
292.5,223,3,2268,154
295.0,585,9,6528,333
297.5,555,1,2233,337
300.0,10301,282,12781,1256
302.5,2504,83,1708,307
305.0,7151,300,8534,1830
307.5,5341,1585,2774,2280
310.0,22174,3228,7717,3612
312.5,8178,6393,899,3407
315.0,10802,4768,3737,255
317.5,6499,881,213,1
320.0,17215,2085,10313,318
322.5,1536,2447,125,27
325.0,8496,399,2973,6
327.5,1785,19,11,60
330.0,11511,304,905,10
332.5,1790,32,0,2
335.0,5169,181,189,3340
337.5,596,5,0,20
340.0,18064,275,276,11013
345.0,3027,16,4,1
350.0,17077,225,2,1
355.0,2078,2,0,2
360.0,6308,1,7,40
365.0,1927,1,0,2
370.0,7170,18,0,1
375.0,5107,3,0,1
380.0,22234,13,0,19
385.0,1445,6,0,210
390.0,4574,3,0,210
395.0,615,25,0,20
400.0,8227,10,0,4
405.0,3815,14,0,0
410.0,3109,4,0,20
415.0,2548,1,0,0
420.0,4643,18,0,190
425.0,786,1,0,0
430.0,1023,5,0,0
435.0,102,1,0,0
440.0,1478,1,0,0
445.0,118,2,0,0
450.0,2140,1,0,0
460.0,1351,1,0,0
470.0,477,63,0,0
480.0,5203,1,0,0
490.0,925,5,0,0
500.0,3091,102,0,0
510.0,483,46,0,0
520.0,212,12,0,0
530.0,187,10,0,0
540.0,953,2,0,0
550.0,62,1,0,0
560.0,46,1,0,0
570.0,2572,16,0,0
580.0,7,1,0,0
590.0,106,2,0,0
600.0,657,5,0,0
