Ticker,AZN
CurrentPrice,189.815
ExpirationDate,2026-03-20
DownloadTimestamp,2026-03-18 17:51:36

Strike,Call_OI,Call_Volume,Put_OI,Put_Volume
65.0,0,0,12,1
70.0,8,0,13,7
75.0,24,0,9,7
80.0,70,0,34,7
85.0,21,1,1089,5
87.5,10,4,19,1
90.0,142,10,29,175
92.5,218,66,157,222
95.0,1567,4,166,17
97.5,190,1,50,0
100.0,314,24,22,3
105.0,61,5,20,11
110.0,3,0,20,21
115.0,0,0,86,0
135.0,0,0,57,0
140.0,0,0,2,2
155.0,0,0,5,0
160.0,0,0,9,1
165.0,0,2,7,6
170.0,0,2,19,6
175.0,46,50,80,21
180.0,4,1,21,1
185.0,2,2,171,24
190.0,16,15,101,1
195.0,100,5,268,4
200.0,153,25,313,13
210.0,1818,3,16,1
220.0,3378,1,0,1
230.0,236,6,0,0
240.0,5,1,0,0
260.0,3,0,0,0
270.0,0,0,0,0
280.0,0,0,0,0
