Ticker,GILD
CurrentPrice,142.31
ExpirationDate,2026-03-20
DownloadTimestamp,2026-03-18 17:50:58

Strike,Call_OI,Call_Volume,Put_OI,Put_Volume
47.5,1,1,4,1
50.0,2,1,1,0
55.0,0,1,2,2
60.0,0,0,605,3
65.0,2,13,17,1
70.0,0,16,24,6
75.0,0,31,531,1
80.0,0,823,97,3
85.0,3,1,122,3
87.5,0,193,56,5
90.0,0,2490,267,20
92.5,0,165,71,1
95.0,0,427,1190,20
97.5,0,895,210,1
100.0,6,1,717,3
105.0,4,667,1487,3
110.0,4,7849,1048,1
115.0,0,27740,2112,1
120.0,25,25486,828,2
125.0,111,1,774,1
130.0,129,3,4760,8
133.0,0,0,8,0
134.0,0,0,0,0
135.0,85,19,1288,4
136.0,0,0,1,5
137.0,0,0,94,1
138.0,0,0,55,1
139.0,1,2,83,7
140.0,1593,33,4867,13
141.0,1,1,83,20
142.0,2,6,86,11
143.0,39,7,61,1
144.0,47,2,36,16
145.0,793,15,342,21
146.0,434,170,79,5
147.0,184,10,106,1
148.0,228,9,78,40
149.0,363,2,274,5
150.0,3495,176,538,5
152.5,305,5,0,0
155.0,763,24,21,1
157.5,495,44,0,0
160.0,1989,41,20,3
162.5,43,4,0,0
165.0,2130,20,0,1
167.5,28,27,0,0
170.0,197,55,0,0
175.0,44,6,0,1
180.0,6,1,0,1
190.0,1,1,0,0
