Ticker,NXPI
CurrentPrice,193.7651
ExpirationDate,2026-03-20
DownloadTimestamp,2026-03-18 17:50:26

Strike,Call_OI,Call_Volume,Put_OI,Put_Volume
80.0,0,0,18,2
90.0,0,0,10,0
95.0,0,0,2,0
100.0,0,0,1,2
105.0,3,0,1,1
110.0,2,1,15,1
115.0,14,9,0,0
120.0,0,0,4,2
125.0,0,0,1,0
130.0,0,0,4,1
135.0,6,0,15,2
140.0,5,2,17,1
145.0,9,1,47,3
150.0,18,5,332,7
155.0,19,6,50,4
160.0,7,3,155,2
165.0,6,1,84,5
170.0,11,1,943,877
175.0,7,1,74,1
180.0,11,1,146,15
185.0,38,12,636,31
190.0,87,1,429,14
195.0,149,4,141,3
200.0,185,28,1137,59
210.0,339,125,1517,2
220.0,248,14,285,1
230.0,1172,4,715,5
240.0,982,12,629,700
250.0,521,2,0,1
260.0,461,7,7,700
270.0,595,134,0,0
280.0,242,20,1,0
290.0,90,1,0,1
300.0,150,10,0,0
310.0,11,1,0,0
320.0,365,5,0,0
330.0,188,2,0,0
340.0,310,5,0,0
350.0,8,2,0,0
360.0,5,0,0,0
