Ticker,ISRG
CurrentPrice,480.54
ExpirationDate,2026-03-20
DownloadTimestamp,2026-03-18 17:50:32

Strike,Call_OI,Call_Volume,Put_OI,Put_Volume
45.0,0,0,0,0
220.0,2,2,16,12
240.0,4,0,8,0
250.0,27,6,19,5
260.0,24,1,28,14
270.0,35,0,32,12
280.0,34,2,92,2
290.0,41,4,240,204
300.0,45,11,233,186
310.0,46,2,208,9
320.0,33,1,220,30
330.0,17,1,207,3
340.0,10,1,16,2
350.0,12,3,107,6
360.0,8,2,130,12
370.0,32,1,217,12
375.0,15,0,0,0
380.0,32,1,222,9
385.0,0,0,5,1
390.0,12,3,185,9
395.0,0,0,24,3
400.0,16,5,577,12
405.0,11,6,27,20
410.0,34,2,432,1
415.0,10,0,41,12
420.0,28,2,185,2
425.0,4,1,41,41
427.5,0,0,4,90
430.0,23,2,600,2
432.5,0,0,5,1
435.0,7,6,44,1
437.5,0,0,3,2
440.0,77,2,260,13
442.5,0,0,20,45
445.0,0,0,74,1
447.5,0,0,5,0
450.0,145,1,2545,319
455.0,6,5,150,22
457.5,0,0,5,10
460.0,139,1,627,11
462.5,0,0,24,1
465.0,6,6,287,1
467.5,27,0,146,25
470.0,65,3,1094,51
472.5,27,2,57,6
475.0,69,4,258,18
477.5,6,8,62,1
480.0,97,1,2806,2
482.5,83,2,35,24
485.0,85,7,495,7
487.5,48,1,78,1
490.0,307,1,249,3
492.5,267,20,12,4
495.0,91,2,87,9
497.5,240,3,1,1
500.0,375,51,2024,1
502.5,20,9,4,0
505.0,232,10,53,4
507.5,65,16,0,0
510.0,607,1,180,4
512.5,75,10,3,1
515.0,576,20,59,10
517.5,2,2,0,0
520.0,622,1,309,4
522.5,17,10,0,0
525.0,246,1,152,1
530.0,551,3,66,1
535.0,205,5,2,1
540.0,291,6,14,1
545.0,123,3,10,1
550.0,591,1,27,3
555.0,248,1,0,6
560.0,467,3,13,6
565.0,18,1,0,7
570.0,318,1,61,207
575.0,174,2,0,1
580.0,513,2,5,7
585.0,59,1,0,1
590.0,30,1,1,1
595.0,10,5,0,1
600.0,863,1,20,1
605.0,125,1,0,1
610.0,28,1,1,1
615.0,77,6,0,1
620.0,702,1,0,4
625.0,26,2,0,1
630.0,75,6,0,0
635.0,32,29,0,0
640.0,265,4,1,0
645.0,207,1,0,0
650.0,43,4,0,0
655.0,5,1,0,0
660.0,542,1,0,1
665.0,6,1,0,0
670.0,2,0,0,0
680.0,121,2,1,2
685.0,29,10,0,0
690.0,1,0,0,0
695.0,19,14,0,0
700.0,210,1,0,0
720.0,43,2,0,0
740.0,47,4,0,10
760.0,9,1,0,2
765.0,1,0,0,0
780.0,11,2,0,2
800.0,41,2,0,2
815.0,1,0,0,0
820.0,27,2,0,0
840.0,4,1,0,0
860.0,49,11,0,0
880.0,560,2,0,0
