Ticker,REGN
CurrentPrice,782.38
ExpirationDate,2026-02-20
DownloadTimestamp,2026-02-20 00:45:02

Strike,Call_OI,Put_OI
260.0,0,2
270.0,1,3
290.0,1,0
300.0,1,1
310.0,2,1
320.0,1,0
340.0,0,1
350.0,0,1
360.0,1,0
400.0,0,4
415.0,0,14
420.0,0,1
425.0,1,2
430.0,0,1
435.0,0,1
440.0,0,11
445.0,0,6
450.0,4,84
455.0,0,5
460.0,0,15
465.0,6,22
470.0,2,6
475.0,1,18
480.0,1,21
485.0,0,19
490.0,5,14
495.0,0,19
500.0,2,25
505.0,1,9
510.0,2,5
515.0,1,19
520.0,11,55
525.0,0,5
530.0,2,2
535.0,1,6
540.0,45,12
545.0,0,15
550.0,8,30
555.0,3,86
560.0,12,39
565.0,4,2
570.0,29,10
575.0,4,13
580.0,8,24
585.0,6,2
590.0,20,16
595.0,6,10
600.0,29,20
605.0,8,13
610.0,30,37
615.0,20,29
620.0,22,25
625.0,11,1
630.0,2,14
635.0,1,1
640.0,8,27
645.0,0,12
650.0,1,7
655.0,2,21
660.0,8,40
665.0,0,27
670.0,5,24
675.0,2,19
680.0,27,32
685.0,2,14
690.0,30,68
695.0,1,45
700.0,128,220
705.0,3,92
710.0,3,57
715.0,10,33
720.0,39,80
725.0,21,201
730.0,20,63
735.0,38,27
740.0,193,26
745.0,53,126
747.5,0,1
750.0,118,112
755.0,34,116
757.5,0,1
760.0,121,59
765.0,32,12
770.0,15,41
775.0,13,32
780.0,69,20
785.0,51,23
790.0,125,14
795.0,17,5
800.0,374,24
805.0,14,1
810.0,34,5
815.0,15,1
820.0,69,2
825.0,60,1
830.0,87,0
835.0,19,0
840.0,52,4
845.0,18,0
850.0,134,1
855.0,3,0
860.0,45,4
865.0,1,0
870.0,9,0
875.0,4,0
880.0,7,0
885.0,1,0
890.0,8,0
895.0,1,0
900.0,89,0
910.0,4,2
915.0,2,0
920.0,3,0
925.0,0,1
930.0,2,0
935.0,1,0
940.0,87,0
945.0,1,0
950.0,17,0
965.0,1,0
1000.0,7,0
