Ticker,QCOM
CurrentPrice,130.7
ExpirationDate,2026-03-20
DownloadTimestamp,2026-03-18 17:50:10

Strike,Call_OI,Call_Volume,Put_OI,Put_Volume
65.0,7,1,28,20
70.0,5,5,9,2
75.0,0,0,40,1
80.0,1,140,77,14
85.0,6,145,365,10
90.0,2,2,1123,1
95.0,1,2,527,51
100.0,42,2,1468,24
105.0,1,2,356,2
110.0,2,2,1088,23
113.0,0,0,17,43
114.0,0,0,22,2
115.0,6,6,2265,14
116.0,0,0,9,17
117.0,0,0,31,17
118.0,0,0,3,1
119.0,0,0,36,6
120.0,59,40,5261,27
121.0,0,0,51,2
122.0,0,0,331,10
123.0,0,0,83,3
124.0,0,0,72,17
125.0,300,110,3460,67
126.0,0,0,183,14
127.0,18,1,834,16
128.0,0,0,343,46
129.0,327,121,2050,15
130.0,679,1,7548,1441
131.0,126,122,394,24
132.0,364,170,679,28
133.0,425,57,636,31
134.0,4503,66,416,9
135.0,2769,377,4716,18
136.0,743,39,232,21
137.0,1808,109,289,36
138.0,535,4,129,11
139.0,409,1,418,1
140.0,4976,56,3208,18
141.0,320,1,125,3
142.0,309,63,174,26
143.0,147,1,83,4
144.0,166,51,35,5
145.0,5722,21,2543,3
146.0,242,48,56,3
147.0,214,65,4,1
148.0,143,1,17,3
149.0,55,10,10,1
150.0,9251,3,3464,2
152.5,302,5,0,0
155.0,3069,22,1226,4000
157.5,131,4,0,0
160.0,3602,5,565,4290
162.5,78,2,0,0
165.0,3442,10,85,700
167.5,116,1,0,0
170.0,2155,3,169,5810
175.0,2263,25,59,430
180.0,3739,3,165,1610
185.0,3216,8,9,24
190.0,4252,6,0,2145
195.0,1181,6,0,1040
200.0,12632,11,0,871
210.0,4935,12,0,60
220.0,3520,63,1,1
230.0,3983,2,0,1
240.0,1314,20,0,1
250.0,1173,1,0,0
260.0,1604,1,0,0
270.0,111,20,0,0
280.0,74,20,0,0
290.0,46,42,0,0
300.0,267,10,0,0
