Ticker,PYPL
CurrentPrice,44.869
ExpirationDate,2026-03-20
DownloadTimestamp,2026-03-18 17:51:03

Strike,Call_OI,Call_Volume,Put_OI,Put_Volume
22.5,15,8,0,0
25.0,0,1,1,0
27.5,1,2,0,0
30.0,357,6,12090,1
32.5,24,8,2198,1
33.0,12,11,1,0
34.0,44,2,1,0
35.0,299,3,2859,2
36.0,42,2,6,1
36.5,0,0,11,5
37.0,2,1,60,1
37.5,1052,1,3552,11
38.0,7,1,548,1
38.5,8,1,18,1
39.0,33,3,475,2
39.5,4,1,894,1
40.0,4375,23,10608,36
40.5,1213,3,699,1
41.0,324,99,793,8
41.5,355,44,675,1
42.0,752,2,934,36
42.5,10161,9,7113,47
43.0,766,9,1661,119
43.5,682,19,682,66
44.0,1209,21,2588,33
44.5,433,27,1267,158
45.0,17820,378,7220,407
45.5,594,188,902,284
46.0,5651,519,643,111
46.5,1921,200,450,22
47.0,5767,456,731,5
47.5,6841,156,1790,12
48.0,7064,132,229,1
48.5,1964,46,5,1
49.0,4505,509,5,1
49.5,573,2,15,0
50.0,29761,9369,5984,45
51.0,3615,137,41,31
52.0,1737,12,8,8
52.5,3899,17,2330,8
53.0,120,29,0,0
54.0,61,41,5,1
55.0,11232,27,1826,19
56.0,136,3,0,0
57.5,7064,1,3203,127
60.0,15652,250,478,2882
62.5,6429,28,626,4080
65.0,13922,20,22,3
67.5,10762,15,56,1
70.0,29294,1,214,650
72.5,5802,33,24,30
75.0,8776,5,38,60
77.5,2608,6,0,298
80.0,27185,454,0,8
82.5,4107,2,65,370
85.0,8136,10,0,36
87.5,2760,1,0,3
90.0,13960,1,0,1
92.5,2428,3,0,3
95.0,3778,5,5,1
97.5,2481,8,27,1
100.0,14430,5,0,1
105.0,2056,10,0,1
110.0,2948,5,0,1
115.0,2096,73,0,1
120.0,2026,3,0,0
125.0,894,1,0,0
130.0,1686,3,0,0
135.0,5366,52,0,1
