Ticker,FANG
CurrentPrice,190.545
ExpirationDate,2026-03-20
DownloadTimestamp,2026-03-18 17:49:50

Strike,Call_OI,Call_Volume,Put_OI,Put_Volume
60.0,1,0,0,0
65.0,1,0,0,0
70.0,0,0,1,1
75.0,0,0,1,0
80.0,0,3,8,5
85.0,0,160,12,5
90.0,0,0,14,5
95.0,0,0,6,5
100.0,2,1,24,1
105.0,1,1,57,1
110.0,1,1,33,1
115.0,0,25,115,1
120.0,0,280,101,2
125.0,5,525,320,2
130.0,2,570,278,10
135.0,0,360,360,5
140.0,2,1,650,3
145.0,6,1,632,7
150.0,24,3,739,71
155.0,230,2,445,4
160.0,1089,10,733,2
165.0,1822,4,827,26
170.0,1858,31,3105,35
175.0,1738,38,701,5
180.0,3885,481,674,8
185.0,1304,46,123,6
190.0,1588,107,26,1
195.0,941,20,2,2
200.0,853,19,2,2
210.0,2134,4,21,111
220.0,159,1,0,0
230.0,10,3,0,0
240.0,17,3,0,0
260.0,946,2,0,0
