Ticker,FAST
CurrentPrice,45.875
ExpirationDate,2026-03-20
DownloadTimestamp,2026-03-18 17:52:13

Strike,Call_OI,Call_Volume,Put_OI,Put_Volume
18.75,4,0,56,0
20.0,0,2,0,0
22.5,0,0,0,0
23.75,0,0,2,1
25.0,0,0,80,1
27.5,0,0,0,0
30.0,4,4,1,0
32.5,0,1,233,20
33.75,0,0,40,1
35.0,0,5,640,2
36.25,8,1,379,3
37.5,238,2,1889,354
38.75,67,1,589,5
40.0,174,8,509,10
41.25,225,5,685,1
42.5,1075,4,2623,1
43.75,823,17,819,2
45.0,2145,354,3171,2011
46.25,5860,196,68,1
47.5,1762,10,425,2
50.0,3048,4,143,146
52.5,768,4,159,130
55.0,262,20,1,3
57.5,106,2,0,12
60.0,163,1,0,6
65.0,8,0,0,1
67.5,0,0,5,2
70.0,0,0,100,0
72.5,1,1,0,5
75.0,33,1,0,3
77.5,0,0,0,3
80.0,0,25,0,2
82.5,5,1,0,2
85.0,31,30,0,2
90.0,16,15,0,0
95.0,8,3,0,0
100.0,0,5,0,0
110.0,10,10,0,0
