Ticker,EXC
CurrentPrice,49.625
ExpirationDate,2026-03-20
DownloadTimestamp,2026-03-18 17:51:39

Strike,Call_OI,Call_Volume,Put_OI,Put_Volume
23.0,0,1,1,1
25.0,0,0,0,1
28.0,0,0,0,1
30.0,0,1,3,1
33.0,0,0,284,1
35.0,4,4,27,1
36.0,0,0,1,1
37.0,0,2,0,0
38.0,1,0,57,1
39.0,0,0,34,4
40.0,0,1326,195,1
41.0,0,500,211,2
42.0,3,2676,1608,3
43.0,4,8,308,1
44.0,12,1,576,2
45.0,102,1,402,64
46.0,4,1,97,1
47.0,681,23,161,1
48.0,908,5,246,20
49.0,9760,6,962,2
50.0,7955,18,435,5
55.0,417,1,0,1
60.0,4,3,0,3
65.0,590,2,0,0
70.0,9,8,0,0
