Ticker,ARM
CurrentPrice,128.655
ExpirationDate,2026-03-20
DownloadTimestamp,2026-03-18 17:52:17

Strike,Call_OI,Call_Volume,Put_OI,Put_Volume
42.5,0,0,272,1
45.0,0,0,290,5
47.5,0,0,71,1
50.0,7,2,3,2
55.0,2,2,178,2
60.0,11,2,24,8
65.0,12,1,189,3
70.0,34,12,599,15
75.0,68,1,535,2
80.0,23,1,1454,11
82.5,24,1,250,5
85.0,52,2,3981,11
87.5,26,18,650,56
90.0,162,2,4755,5
91.0,0,0,3,0
92.5,65,1,509,10
94.0,0,0,1,0
95.0,40,2,2376,10
96.0,0,0,11,1
97.5,26,2,507,11
99.0,9,2,39,2
100.0,203,4,5368,10
101.0,0,0,156,13
102.0,0,0,13,1
103.0,4,3,27,2
104.0,3,4,19,2
105.0,1858,1,6479,23
106.0,39,18,468,15
107.0,19,18,52,9
108.0,19,1,100,2
109.0,0,0,140,7
110.0,2178,6,5141,50
111.0,25,3,484,3
112.0,14,8,242,4
113.0,44,1,95,62
114.0,40,3,192,53
115.0,4938,6,7610,106
116.0,2192,1,225,1
117.0,240,7,233,2
118.0,180,1,180,23
119.0,1433,3,171,17
120.0,5607,172,6278,239
121.0,436,13,960,34
122.0,1532,25,337,106
123.0,383,72,263,59
124.0,271,7,51,47
125.0,4123,133,3944,137
126.0,210,13,333,110
127.0,757,104,118,23
128.0,501,226,8,25
129.0,237,153,11,145
130.0,6939,951,4001,45
131.0,352,1400,27,1
132.0,224,125,229,8
133.0,173,80,22,10
134.0,537,1349,2,10
135.0,3243,320,4157,7
136.0,230,26,6,4
137.0,50,15,45,2
138.0,110,7,13,15
139.0,437,5,0,0
140.0,6413,145,3320,8
141.0,90,63,0,0
142.0,105,2,0,0
143.0,12,1,0,0
144.0,4,3,0,0
145.0,2383,9,62,24
150.0,3158,59,278,11
152.5,33,23,0,0
155.0,1097,1,103,1
160.0,2330,8,0,190
165.0,4411,94,0,383
170.0,3496,5,200,122
175.0,994,15,1,120
180.0,3204,20,1,1
185.0,977,1,0,2
190.0,1446,60,0,4
195.0,508,1,0,2
200.0,3579,2,24,1
210.0,867,1,8,1
220.0,661,1,0,25
230.0,2789,1,2,2
240.0,230,6,7,4
250.0,249,54,0,0
260.0,82,15,0,0
