Ticker,AXON
CurrentPrice,504.19
ExpirationDate,2026-03-20
DownloadTimestamp,2026-03-18 17:51:15

Strike,Call_OI,Call_Volume,Put_OI,Put_Volume
250.0,2,0,252,27
260.0,4,1,103,17
270.0,5,1,332,2
280.0,3,2,58,14
290.0,2,1,37,2
300.0,9,1,179,3
310.0,1,0,240,1
320.0,11,1,38,1
330.0,11,1,45,1
340.0,13,2,351,3
350.0,11,5,155,10
360.0,8,3,111,1
370.0,4,1,93,1
380.0,7,2,92,1
390.0,9,1,144,1
400.0,49,4,400,5
410.0,67,2,240,1
420.0,45,1,306,35
430.0,92,1,130,3
440.0,195,1,405,6
450.0,276,1,952,1
460.0,105,1,373,13
470.0,854,3,127,24
480.0,424,1,252,3
490.0,134,22,225,40
500.0,260,20,328,9
510.0,250,16,125,8
520.0,126,22,533,9
530.0,168,11,582,1
540.0,175,18,427,3
550.0,138,8,144,1
560.0,418,1,131,2
570.0,759,20,89,1
580.0,162,1,51,30
590.0,118,10,9,110
600.0,598,2,4,181
610.0,147,4,6,2
620.0,609,3,0,2
630.0,121,2,0,3
640.0,115,1,2,15
650.0,219,1,0,32
660.0,54,3,0,2
670.0,90,1,0,1
680.0,86,5,0,300
690.0,74,1,0,1
700.0,281,1,0,1
710.0,133,1,0,1
720.0,111,1,0,1
730.0,108,22,0,1
740.0,73,1,0,1
750.0,128,1,21,1
760.0,69,1,14,1
770.0,267,10,0,3
780.0,106,1,2,3
790.0,37,1,0,4
800.0,355,2,21,1
810.0,11,2,0,15
820.0,24,1,0,2
830.0,78,11,7,2
840.0,9,1,0,1
850.0,26,1,1,3
860.0,20,3,0,1
870.0,10,1,7,2
880.0,73,5,15,2
890.0,11,3,0,0
900.0,51,2,0,1
920.0,181,2,1,0
940.0,71,11,0,5
960.0,27,15,1,0
980.0,20,7,1,1
1000.0,69,6,0,0
1020.0,76,3,0,0
1040.0,15,16,1,0
1060.0,9,2,0,1
1080.0,6,1,0,2
1100.0,149,1,0,0
1120.0,0,1,0,5
1140.0,2,2,0,0
1180.0,583,4,0,0
1200.0,29,4,0,0
1220.0,3,1,0,0
1240.0,1,14,0,0
1260.0,1,0,0,0
1280.0,1,1,0,0
1300.0,4,1,0,0
