Ticker,PAYX
CurrentPrice,91.625
ExpirationDate,2026-03-20
DownloadTimestamp,2026-03-18 17:51:08

Strike,Call_OI,Call_Volume,Put_OI,Put_Volume
70.0,0,0,14,1
75.0,1,2,32,1
80.0,7,1,135,11
85.0,38,1,1031,11
90.0,118,1,2673,8
95.0,394,110,436,5
100.0,1004,1,425,11
105.0,501,26,553,1
110.0,1035,5,23,10
115.0,566,21,1,1
120.0,835,12,4,3
125.0,627,5,0,170
130.0,308,1,31,96
135.0,152,1,0,40
140.0,272,1,107,96
145.0,106,9,6,5
150.0,135,1,2,2
155.0,116,2,2,3
160.0,189,1,0,7
165.0,16,43,0,0
170.0,70,45,2,0
175.0,1161,938,2,0
180.0,69,135,0,0
185.0,15,5,0,0
190.0,6,1,0,0
195.0,1,1,0,0
200.0,3,3,0,0
210.0,0,1,0,0
