Ticker,BKNG
CurrentPrice,4007.45
ExpirationDate,2026-02-20
DownloadTimestamp,2026-02-20 00:44:59

Strike,Call_OI,Put_OI
2500.0,0,95
2550.0,0,13
2600.0,0,25
2650.0,0,13
2700.0,0,52
2750.0,5,36
2800.0,0,30
2850.0,0,116
2900.0,0,26
2950.0,0,9
3000.0,0,71
3050.0,1,39
3100.0,0,30
3150.0,4,12
3250.0,1,8
3300.0,1,15
3400.0,3,60
3450.0,1,12
3500.0,0,53
3550.0,0,16
3600.0,5,32
3640.0,0,1
3650.0,12,45
3660.0,0,10
3680.0,0,12
3700.0,0,45
3720.0,0,19
3750.0,5,24
3780.0,0,12
3800.0,4,95
3820.0,1,0
3840.0,0,29
3850.0,15,42
3860.0,2,20
3880.0,0,22
3900.0,2,93
3920.0,0,5
3940.0,7,0
3950.0,3,39
3960.0,0,18
3980.0,0,18
4000.0,22,140
4020.0,5,5
4040.0,8,8
4050.0,6,46
4060.0,2,0
4080.0,3,14
4100.0,30,37
4120.0,35,8
4140.0,20,33
4150.0,43,33
4160.0,40,0
4180.0,43,13
4200.0,50,89
4220.0,12,46
4240.0,6,63
4250.0,38,22
4260.0,0,65
4280.0,27,38
4300.0,110,200
4310.0,0,2
4320.0,45,7
4325.0,0,13
4330.0,2,0
4335.0,11,0
4340.0,12,17
4345.0,0,1
4350.0,30,55
4355.0,3,0
4360.0,43,4
4370.0,1,6
4375.0,0,2
4380.0,9,1
4385.0,8,2
4390.0,3,11
4395.0,24,1
4400.0,226,44
4415.0,1,0
4430.0,1,2
4435.0,0,2
4440.0,4,1
4450.0,33,42
4460.0,49,1
4480.0,5,0
4500.0,228,53
4515.0,13,1
4520.0,5,0
4525.0,6,0
4530.0,2,0
4535.0,3,9
4545.0,1,5
4550.0,76,21
4555.0,0,0
4565.0,0,5
4575.0,2,0
4580.0,0,1
4600.0,305,24
4605.0,8,1
4620.0,1,0
4625.0,2,1
4635.0,1,1
4645.0,1,0
4650.0,83,24
4655.0,8,0
4680.0,6,1
4700.0,175,20
4720.0,0,3
4740.0,7,0
4750.0,147,30
4800.0,66,27
4850.0,15,20
4900.0,75,15
4940.0,1,0
4950.0,17,10
5000.0,417,71
5015.0,15,1
5025.0,8,2
5035.0,0,9
5045.0,2,0
5050.0,33,50
5055.0,3,1
5060.0,0,1
5065.0,2,1
5075.0,12,2
5085.0,2,0
5095.0,0,24
5100.0,98,38
5105.0,2,0
5115.0,2,0
5120.0,12,2
5125.0,6,2
5130.0,4,2
5135.0,4,2
5140.0,31,1
5145.0,4,0
5150.0,25,32
5155.0,7,2
5160.0,2,1
5165.0,4,3
5170.0,8,1
5175.0,11,0
5180.0,6,1
5185.0,9,2
5190.0,7,0
5195.0,4,0
5200.0,52,15
5205.0,2,0
5210.0,0,0
5215.0,1,0
5220.0,2,0
5225.0,31,1
5230.0,9,0
5235.0,2,0
5240.0,7,0
5245.0,0,1
5250.0,108,2
5255.0,1,0
5260.0,3,0
5265.0,1,0
5300.0,75,1
5350.0,10,0
5355.0,0,1
5360.0,4,0
5365.0,0,0
5370.0,2,0
5375.0,1,0
5380.0,2,0
5385.0,1,0
5390.0,23,0
5395.0,2,0
5400.0,59,2
5405.0,5,0
5410.0,8,2
5415.0,1,1
5420.0,7,0
5425.0,6,0
5430.0,29,0
5435.0,17,0
5440.0,20,0
5445.0,14,0
5450.0,21,0
5455.0,6,0
5460.0,3,0
5465.0,12,0
5470.0,15,0
5475.0,5,0
5480.0,1,0
5485.0,14,0
5490.0,9,0
5495.0,6,0
5500.0,59,0
5505.0,27,0
5510.0,7,0
5515.0,9,0
5520.0,24,0
5525.0,18,0
5530.0,8,0
5535.0,6,0
5540.0,19,0
5545.0,10,0
5550.0,22,0
5555.0,39,0
5600.0,92,0
5650.0,28,0
5700.0,85,0
5750.0,17,0
5800.0,33,0
5850.0,23,0
5900.0,8,0
5950.0,6,0
6000.0,36,0
6050.0,10,0
6100.0,14,0
6150.0,7,0
6200.0,83,0
6250.0,38,0
6300.0,41,0
6350.0,23,0
6400.0,38,0
6450.0,21,0
6500.0,161,0
6600.0,52,0
6700.0,59,0
6800.0,242,0
6900.0,72,0
7000.0,53,0
7100.0,12,0
7200.0,34,0
7300.0,47,0
7400.0,53,0
7500.0,48,0
7600.0,28,0
