Ticker,MSFT
CurrentPrice,393.355
ExpirationDate,2026-03-20
DownloadTimestamp,2026-03-18 17:49:58

Strike,Call_OI,Call_Volume,Put_OI,Put_Volume
175.0,14,1,283,1
180.0,4,5,45,1
185.0,2,1,39,1
190.0,19,2,52,2
195.0,8,5,614,5
200.0,11,2,403,30
210.0,4,3,342,5
220.0,11,10,238,1
230.0,5,2,566,20
240.0,32,1,91,1
250.0,30,1,1614,1
260.0,23,1,1109,1
270.0,37,1,525,1
280.0,78,2,2019,27
290.0,33,1,1495,19
300.0,294,2,2087,3
310.0,38,10,934,17
315.0,1,0,373,18
320.0,111,1,2837,4
325.0,5,3,1655,2
330.0,86,1,8256,2
335.0,43,1,2659,11
340.0,105,1,4866,3
345.0,135,5,1311,12
350.0,445,10,18728,66
355.0,122,46,3106,22
360.0,424,8,6459,439
362.5,2,1,574,5
365.0,191,2,6870,524
367.5,6,2,508,115
370.0,675,190,9509,404
372.5,203,9,2601,241
375.0,191,7,5159,585
377.5,371,21,1886,371
380.0,965,95,18154,569
382.5,259,7,1991,779
385.0,955,47,5725,1454
387.5,469,35,2024,1246
390.0,3297,810,12228,4939
392.5,1036,318,2686,4190
395.0,4793,2175,5372,3955
397.5,1543,2789,1188,1117
400.0,11414,6217,16102,2187
402.5,1717,1897,1698,338
405.0,7897,3766,9086,229
407.5,4050,1543,919,51
410.0,14847,4996,5788,377
412.5,4235,1272,603,13
415.0,7878,1743,2116,75
417.5,2133,937,108,3
420.0,14601,1693,7181,149
422.5,4269,1179,39,1
425.0,12304,553,1099,39
427.5,894,294,0,0
430.0,10765,137,3398,5
432.5,1387,26,0,0
435.0,16784,85,1044,12786
437.5,2896,3,0,0
440.0,18788,133,1923,2
442.5,161,32,0,0
445.0,7115,33,962,4
447.5,124,1,0,0
450.0,24252,12,2691,3
455.0,3495,2,1427,15150
460.0,10699,2,1683,1
465.0,5704,31,1042,14112
470.0,5972,1,1011,7922
475.0,7179,1,943,12320
480.0,9084,1,1107,13283
485.0,15502,3,334,3515
490.0,10060,19,403,5700
495.0,2811,1,242,3380
500.0,21341,7,203,4
505.0,4014,2,104,1395
510.0,7565,16,164,2295
515.0,3106,1,154,2145
520.0,6849,4,126,1710
525.0,4533,3,66,925
530.0,9732,7,23,236
535.0,5643,1,94,1171
540.0,6755,31,0,2
545.0,2931,22,0,1
550.0,6550,7,0,2
555.0,2011,3,0,4
560.0,5768,4,0,20
565.0,1969,2,0,1
570.0,3585,3,0,1
575.0,2675,2,0,22
580.0,2919,23,0,1
585.0,907,1,0,0
590.0,1493,34,0,2
595.0,1676,164,0,1
600.0,5939,6,0,1
605.0,349,119,0,0
610.0,4187,32,0,1
620.0,2868,1,0,1
630.0,3254,9,0,1
640.0,2690,2,0,13
650.0,2829,42,0,1
660.0,2314,1,0,17
680.0,2592,1,0,0
700.0,1787,2,0,0
720.0,951,1,0,0
740.0,3067,5,0,0
